Description,Label
"MHS22 Morse 1-3/8"" Bi-metal H",Exclude
"[PVC Locknut] 1/2""",Exclude
"[Handy Box] 1 Gang, 1 1/2"" Dee",Exclude
"4"" PVC Sched 40 10' sections",Conduit
thhn #10 solid black,Wire
Black Markers,Exclude
1-1/2 Scd 80 PVC 90’s,Exclude
THHN 12 SOL ORG,Wire
"1 1/2"" PVC Schedule 40",Conduit
#14awg 2-wire Fire Alarm Cable,Wire
# 2  AWG AL BLACK THWN or XXHW,Wire
"1"" PVC Conduit, 10', Schedule ",Conduit
"Flexible Steel Conduit, 1/2"", ",Conduit
Arlington EMT400 EMT Insulatin,Exclude
#10 thhn solid green,Wire
"4"" PVC Schedule  40",Conduit
4 Port Polaris Lugs Same Side,Exclude
3/4 CARFLEX CONDUIT,Conduit
"[Custom Feeder] (4) 8 AWG, THH",Wire
#12 orange solid wire THHN,Wire
"10' sticks of 2"" Rigid conduit",Conduit
"PVC Coated Conduit, 2-1/2"", 10",Conduit
TOPAZ ELECTRIC 2110 4-IN EMT &,Conduit
#6 copper THWN white,Wire
"#10 3"" screws",Exclude
COP THHN8STRBRN-CUT THHN-8-BRN,Wire
12/2 Romex (1000' REELS),Wire
1 1/2” seal tight 90 degree co,Exclude
"1"" pvc LB",Conduit
Single Gang Plastic Device Box,Exclude
RAMSET 27 YELLOW POWDER STRIPS,Exclude
3M 165RD4A 7100169492 TEMFLEX ,Exclude
4 X CLOSE-GALVANIZED CONDUIT N,Conduit
"[THWN/2 Wire] Black, 10 AWG, C",Wire
"1"" PVC SCH 80 CONDUIT",Conduit
"3/4"" sealtight flex (metal in",Conduit
12 AWG THHN/THWN Stranded Cop,Wire
"1"" Emt",Conduit
"2-1/2"" PVC Conduit, 10', Sche",Conduit
"[Metallic Liquidtight] 1 1/4"",",Exclude
3/4-STEEL THINWALL CONDUIT RED,Conduit
Calbrite S61000MH00 Conduit Ha,Conduit
"1"" scedule 40 PVC conduit",Conduit
EMT125,Conduit
[EMT Compression Coupling] 3/4,Exclude
Flat Hanger Screw TK - With D,Exclude
Wire THHN 12 stranded green,Wire
1-roll 1'' Green Field Flex,Conduit
"[THWN/2 Wire] Black, 12 AWG, C",Wire
9903035  177HD,Exclude
4X6 PULLBOX,Exclude
#12 BLACK THHN CU,Wire
"2"" GRC ",Conduit
6 Strand Copper Wire Soft Draw,Wire
"1"" emt",Conduit
MCNP12/3SOL BKRDBE 3#12N1#12G ,Wire
Polaris Tap three 350 MCM,Exclude
"4"" PVC Sch. 40",Conduit
feet spools 12/2 MC yellow,Wire
4/0 3 hole polaris tap,Exclude
"3"" RIGID Conduit",Conduit
"3/4"" Flexible Liquidtight Meta",Conduit
"3"" pvc conduit",Conduit
"3"" pvc Sch 40",Conduit
"[GRC/RMC] 4"", 10' Sticks",Conduit
Utility Duct Tape,Exclude
"11"" zip ties clear",Exclude
12X12X4 JBOX W/CVR,Exclude
"[Electrical Tape] EWG, Brown",Exclude
3/4” Ridgid Conduit,Conduit
Single gang Mudring adjustable,Exclude
1300' 500 MCM XHHW Alu Wire Bl,Wire
#10 THHN Black Stranded,Wire
"1/2"" threaded K.O. seals  ",Exclude
"1 1/2"" EMT ",Conduit
"master bundle 3/4"" EMT",Conduit
#1 AWG XHHW Alu Green,Wire
THHN-10-GRN-SOL-CU-2500S/R,Wire
3/0 Bare Stranded Copper Wire,Wire
300 MCM XHHW-2 AL (BLUE),Wire
"2 1/2"" 30 DEGRE ELBOW",Exclude
1/4 NUTS,Exclude
"1"" PVC SCH 40 PVC",Conduit
"4"" sq blank plates",Exclude
# 8 THHN Copper,Wire
GRC 2,Conduit
12/2 MC Black hot color reel,Wire
"Bridgeport 904S 1 1/4"" One-Hol",Exclude
#8 Stranded THHN - Red,Wire
#2 Red THHN,Wire
"1"" emt to fmc transition",Conduit
3/8” One Hole Strap,Exclude
#12 Wahos,Wire
Unistrut flat 4 Hole coupling,Exclude
"3"" PVC Elbow, 90°, Schedule 4",Exclude
2'' FLEX,Conduit
"[THHN Wire] Black, 8 AWG, Cop",Wire
#12 Orange STR wire THHN,Wire
"1 1/4"" emt conduit",Conduit
"3"" rigid couplings",Exclude
#10 Solid THHN Brown (2500' Sp,Wire
PVC COND 2-1/2,Conduit
EMT 1,Conduit
4sq Ext Boxes,Exclude
Pvc Glue Despensing Can,Exclude
EGS TCI-502 3/4 IN EMT SSCR CO,Conduit
"1"" Unistrut strap",Exclude
RIDGID1 Gal. Dark Pipe Threadi,Conduit
"1""EMT",Conduit
"Self-Drilling Screw, #8 x 1/2""",Exclude
#1 THHN YELOW CUPPER,Wire
4” Seal Tight Flex,Conduit
White #10 str,Wire
#3 THHN CU (BLACK),Wire
"3/4"" PVC",Conduit
12-3 MC CABLE (BUYOUT),Wire
"2"" EMT       30°",Conduit
2 IN PVC Conduit 10 FT stick S,Conduit
Milwaukee12 in. 18 TPI Medium ,Exclude
4-11/16 flat 2g plaster ring,Exclude
4/0 Black THHN copper,Wire
18” WHITE ZIP TIES,Exclude
"3/8"" aluminum Superflex",Conduit
red crayons,Exclude
standard broom,Exclude
900' 400 MCM XHHW Alu Wire Whi,Wire
"[Machine Screw] #6-32, 3"", Phi",Exclude
"[PVC] 1/2"", Schedule 40, 10' S",Conduit
"1-1/2"" pvc",Conduit
"[ENT] 1/2"", 10'",Conduit
2/3 mc cable,Wire
LARGE BLUE WIRE NUTS,Exclude
"1"" EMT Steel Compression Conne",Exclude
1/4”  X 1 1/4” Fender Washers,Exclude
Panduit ST35-075-66YL PVC Elec,Conduit
"4"" Conduit -Site  PVC Sch 80",Conduit
"2"" SCHEDULE 40 PVC CONDUIT",Conduit
CHICO A SEALING COMPOUND1 LB W,Exclude
CADDY TSGB16,Exclude
"1 AWG THHN/THWN-2 Stranded, C",Wire
# 1 Alum Green XHHW,Wire
"2 1/2"" PVC Male Adapter",Exclude
#12 THHN STR ORANGE,Wire
#8 THHN BLUE (1000' & 500' ),Wire
