Description,Unnamed: 1,Label
  12/2 MC  1000' Reels  ,,Wire
"  3/8"" 1  Hole Straps  ",,Exclude
  3MTB2000RCRIS  ,,Exclude
  4x4 Metal  Box  Blank Cove,,Exclude
  601-dc2    3/8 duplex mc c,,Exclude
  ACD222URNM  ,,Exclude
  Anti Short  Bushings  ,,Exclude
  Course  Thread Drywall Scr,,Exclude
  Grounding  Screw/Pigtail ,,Exclude
  LNX 4-1/2-IN NON-ARBRD HOLE,,Exclude
  LV PRING  SINGLE GANG  ,,Exclude
"  PRING TWO  GANG 4SQ 5/8"" D",,Exclude
  Plate -  Nail On  ,,Exclude
  Staples  ,,Exclude
  Wire Nut -  Red  ,,Exclude
  Wire Nut -  Yellow  ,,Exclude
  Zip Ties -  Heavy Duty - 1,,Exclude
CARLON B455H -  Four Gang E,,Exclude
CARLON B455H -  Four Gang El,,Exclude
   TRO F4297 ODYSSEY LIGHT PEN,,Exclude
  3 Ways Switch Toggle White,,Exclude
"  3/4"" 1-H STRAP - EMT - STEEL",,Exclude
"  3/4"" CONN COMP STL INSUL - E",,Exclude
"  3/4"" CONN FLEX STL SQUEEZE S",,Exclude
"  3/4"" CONN SS STL - EMT",,Exclude
"  3/4"" CONN SS STL INSUL - EMT",,Exclude
"  3/4"" COUPLING COMP STL - EMT",,Exclude
"  3/4"" COUPLING SS STL - EMT",,Exclude
"  3/4"" EMT HANGER MINI CLAMP",,Exclude
"  3/4"" FLEX - LIQUIDTIGHT MET",,Conduit
"  3/4"" FLEX - LIQUIDTIGHT META",,Conduit
"  3/4"" FLEX - STEEL",,Conduit
"  3/4"" FLEX TO EMT CHANGEOVER ",,Exclude
"  3/4"" GRC",,Conduit
  Hubbel Box   # 5337-0  ,,Exclude
  Mc Cable Unti Short Red Head,,Exclude
  SAT S12415 8 Watt LED A19; C,,Exclude
  TYPE BC - INTEGRIS 115-0002-,,Exclude
  TYPE UPN - KICHLER 16212-15,,Exclude
  TYPE UPN - KICHLER 16212-15-,,Exclude
  TYPE X1 - GLOBALUX LIGHTING ,,Exclude
 #1/0AL STR THW,,Wire
 #1/0AL STR THWN,,Wire
 #1AL STR THW ,,Wire
 #1AL STR THWN,,Wire
 #1CU STR THW ,,Wire
 #1CU STR THWN,,Wire
 #2/0AL STR THW,,Wire
 #2/0AL STR THWN,,Wire
 #2/0CU STR THWN,,Wire
 #250AL STR THW,,Exclude
 #250AL STR THWN,,Exclude
 #2AL STR THW ,,Wire
 #2AL STR THWN,,Wire
 #2CU STR THW,,Wire
 #2CU STR THWN,,Wire
 #3/0AL STR THW,,Wire
 #3/0AL STR THWN,,Wire
 #300AL STR THW ,,Wire
 #350AL STR THW,,Exclude
 #350AL STR THWN,,Exclude
 #4/0AL STR THW,,Wire
 #4/0AL STR THWN,,Wire
 #400AL STR THW ,,Wire
 #400AL STR THWN ,,Wire
 #4AL STR THW ,,Wire
 #4AL STR THWN,,Wire
 #4CU STR THW BLACK (500' Spo,,Wire
 #4CU STR THW BLUE (500' Spoo,,Wire
 #4CU STR THW BROWN (1000' Sp,,Wire
 #4CU STR THW ORANGE (1000' S,,Wire
 #4CU STR THW RED (500' Spool),,Wire
 #4CU STR THW WHITE (500' Spo,,Wire
 #4CU STR THW YELLOW (1000' S,,Wire
 #500AL STR THW ,,Wire
 #6 THHN COPPER ,,Wire
 #600AL STR THW,,Wire
" #6AL STR THW GREEN (2,500' S",,Wire
 #6AL STR THWN,,Wire
 #8 THHN BLACK COPPER WIRE ,,Wire
 #8 THHN BLUE COPPER WIRE ,,Wire
 #8 THHN RED COPPER WIRE ,,Wire
" #8CU STR THHN GREEN (2,500' ",,Wire
 02/04/24 ATLANTIC COAST RESID,,Exclude
 08/11/24 METROPOLITAN AT TAMP,,Exclude
 08/18/24 METROPOLITAN AT TAMP,,Exclude
 08/25/24 MOXY HOTEL,,Exclude
" 1 1/2"" pvc male adapter",,Exclude
 1 pound blocks of Duct Seal ,,Exclude
" 1"" 90 SCH40 PE ELBOW",,Exclude
" 1"" PVC male adapters",,Exclude
" 1.5"" watertight ko seal",,Exclude
 1/0-1/0-1/0-2 SER ,,Exclude
 1/2 pvc couplings,,Exclude
" 1/2""  long  Wafer head self T",,Exclude
 10’ 5/8” COPPER CLAD GROUND R,,Exclude
" 14"" Enclosure, Screw-On Cover",,Exclude
 2 1/2'' 90's Seal TightTYNDAL,,Exclude
 2/0-2/0-2/0-1 SER,,Exclude
 200 Single phase Nema 3R MB ,,Exclude
 20A Duplex White,,Exclude
 20A TR DUP RECEPT,,Exclude
 24214. - BJ WHOLESALE CLUB,,Exclude
 24219. - CRESCENT CITY JR. SR,,Exclude
 250-250-250-3/0 SER  ,,Exclude
 3/0 - 3 hole polaris tap for ,,Exclude
 3/4 ENT,,Conduit
" 3/4"" 2-H STRAP - PVC",,Exclude
 3/4” auger bits,,Exclude
 3/4” auger bits By 18”,,Exclude
 3/4”.   Schl 40 Pvc. Coupling,,Exclude
 3/8 LOCK WASHER ZINC,,Exclude
 3/8 X 1-1/4 FENDER WASHER,,Exclude
 4 Pin Compact Flouescent Bulb,,Exclude
" 4"" Sq X 2 1/8"" Deep Combo 1/2",,Exclude
 4/0-4/0-4/0-2/0 SER,,Wire
 6-32x2 Machinescrews,,Exclude
" 7/8"" shallow strut ",,Exclude
 ARLIN FBRS415,,Exclude
 Arlington 8413 MC Conn,,Exclude
