Description,ConduitDiameter
100'-1 1/2'' Rigid Conduits,"1-1/2"""
"2"" PVC Sched 40 @ 200'","2"""
1/2” Emt Conduit ,"1/2"""
"[PVC] 3 1/2"", Schedule 40, 10'","3-1/2"""
3'' EMT  Plastic Throated Con,UNK
"2"" x 10' pvc  ","2"""
1 in. x 10 ft. PVC Schedule 40,"1"""
"1 1/2"" EMT PIPE","1-1/2"""
LQT NM100-CUT 1-IN-FLEX-NM-LIQ,UNK
3” pvc sch 80 10’ sticks,"3"""
(Metallic Flexible Conduit Con,UNK
1/2 greenfield flex steel,"1/2"""
"1"" flexible metallic tubing al","1"""
TB A5217DE 4INX4INX2-3/8IN ENT,UNK
"1 in. to 3/4"" in. Conduit Redu","3/4"""
2 1/2 emt conduit,"2-1/2"""
"4"" flex (greenfeild)","4"""
"4"" EMT CODUIT 10' LONG","4"""
1” PVC Conduit,"1"""
"3/4"" PVC SCH 40 (20' Sticks)","3/4"""
1/2” Greenfield to emt transi,"1/2"""
"3"" PVC SCH 40 (10' Lenghts )","3"""
3/4” sch   pvc,"3/4"""
1-1/2 X 4-GALVANIZED CONDUIT N,"1-1/2"""
"EMT Conduit, 2-1/2"", Galvanize","2-1/2"""
1 1/4” Pvc,"1-1/4"""
20' of 4'' Seal Tight Flex,UNK
"1-1/4"" PVC Sch 40 20' Sections","1-1/4"""
"3/4"" EMT CONDUIT 10FT STICK","3/4"""
"1/2"" steel flex","1/2"""
"1 1/4"" steel flex","1-1/4"""
Calbrite S61000MH00 Conduit H,UNK
"EMT 3/4"" PULLING L","3/4"""
"Cor-Line 3/4"" ENT #012009 100","3/4"""
"SCHEDULE 40 3/4"" PVC","3/4"""
2'' Seal Tight Flex,UNK
"Kraloy 012011 ENT, Gray w/ Bl",UNK
"[PVC] 1 1/2"", Schedule 40, 10","1-1/2"""
"1-1/4"" EMT Mini","1-1/4"""
4IN METAL FLEX,UNK
"1""x10' GRC conduit (to prefab)","1"""
"2"" PVC Conduit 10Ft","2"""
"2"" PVC PIPE","2"""
"[EMT] 2"" Conduit","2"""
4 IN PVC LBE,"4"""
1'' EMT,UNK
"1.5"" PVC sched 40","5"""
"1"" EMT LL","1"""
12' -2 1/2'' SEAL TIGHT FLEX,"2-1/2"""
1/2” Sealtight Conectors,"1/2"""
"[ENT] 3/4"", 1000'","3/4"""
"1"" ENT , Gray tube","1"""
"FLEX 3/4"" ALUMINUM","3/4"""
"3/4"" Greenfield Flex","3/4"""
15007-100 3/4 6/T FLEX PVC,"3/4"""
"3/4"" threaded LB metal conduit","3/4"""
"2 1/2"" Greenfield Flex","2-1/2"""
2 inch pvc schedule 80,"2"""
1 1/2 pvc schedule 40,"1-1/2"""
1” Pvc Schl 40,"1"""
1/2 seal-tight flex,"1/2"""
"EMT Aluminum Conduit, 2-1/2"" D","2-1/2"""
1” schedule 40 pvc,"1"""
"4"" PVC Conduit, 10', Schedule ","4"""
"2"" PVC sched 40","2"""
"6"" PVC SCHED 40 - 20' LENGTHS","6"""
"3/4"" emt conduit","3/4"""
EMT3 - CONDUIT - EMT 3IN,"3"""
"1/2"" Blue ENT","1/2"""
"1"" PVC sched 40","1"""
"1"" Green field (metal Flex)","1"""
"4"" PVC Conduit, 20', Schedule ","4"""
"[PVC] 1 1/4"", Schedule 40, 10","1-1/4"""
"3/4"" smurf tube","3/4"""
"3/4"" sealtight flex","3/4"""
Thomas & Betts XJG38-EMT 1 EMT,"1"""
PVC 125 1-1/4-PVC-SCHED-40-CON,"1-1/4"""
"[EMT] 3/4"" Conduit, Red","3/4"""
"1/2"" PVC Schedule 40","1/2"""
3 ½” emt ,"3"""
"SPEC-FLX-50B 1/2"" FLEX METAL C","1/2"""
"3"" pvc Sch 40","3"""
LQT NM0751000RL 3/4-IN-FLEX-NM,"3/4"""
1-1/2” Metal Flex,"1-1/2"""
2IN ALUM METAL FLEX,UNK
"1"" pvc pipe sch. 40","1"""
1/2 in emt,"1/2"""
EMT 075 3/4X10FT-EMT,"3/4"""
TWISTER PROFLEX MINI 343 O/B 5,"5"""
"1"" LiquidTight Conduit","1"""
