Description,AssemblyDescription
"20' total - 3"" GRC","3"" CONDUIT - GRC"
3/4'' rigid conduit,"3/4"" CONDUIT - PVC"
"1/2"" AL flex","1/2"" CONDUIT - FLEX"
"EMT Conduit, 1-1/2"", Galvaniz","1-1/2"" CONDUIT - EMT"
"[ENT] 3/4"", 1000'","3/4"" UNK"
"Rigid Conduit, 1/2"", Galvanize","1/2"" CONDUIT - GRC"
"2"" emt mineralac","2"" CONDUIT - EMT"
NIP-SQZ FLEX 257,UNK CONDUIT - FLEX
"1-1/4"" PVC Conduit, 20'","1-1/4"" CONDUIT - PVC"
1 1/2” flex,"1-1/2"" CONDUIT - FLEX"
"200' 2"" EMT","2"" CONDUIT - EMT"
Thomas & Betts XJG28-EMT 3/4 ,"3/4"" CONDUIT - EMT"
1/2 emt pipe,"1/2"" CONDUIT - EMT"
101 PVC1 SCH40 COND 10',"1"" CONDUIT - PVC"
2-1/2” Pvc Coated Rigid,"2-1/2"" CONDUIT - PVC"
"EMT 1"" CONDUIT","1"" CONDUIT - EMT"
"2"" PVC PIPE","2"" CONDUIT - PVC"
3/4” PVC SCHD 40,"3/4"" CONDUIT - PVC"
1” PVC Conduit,"1"" CONDUIT - PVC"
3/4-EMT,"3/4"" CONDUIT - EMT"
"1"" pvc TAs","1"" CONDUIT - PVC"
"2"" PVC CONDUIT SCHEDULE 40","2"" CONDUIT - PVC"
"3"" flex","3"" CONDUIT - FLEX"
3/4 IN Conduit Liquid Tight No,"3/4"" CONDUIT - FLEX"
"EMT Conduit, 2-1/2"", Galvanize","2-1/2"" CONDUIT - EMT"
2 1/2 “ Pvc,"2-1/2"" CONDUIT - PVC"
3 -1/2 ”       Schl 40   pvc  ,"3-1/2"" CONDUIT - PVC"
"1"" PVC Sch.40 Conduit 10' Pipe","1"" CONDUIT - PVC"
"1"" flex","1"" CONDUIT - FLEX"
"1/2"" steel flex","1/2"" CONDUIT - FLEX"
"1-1/2"" PVC ","1-1/2"" CONDUIT - PVC"
Calbrite S61000MH00 Conduit H,UNK UNK
NIP GRC125XCL 1-1/4XCLOSEX1-5/,"1-1/4"" CONDUIT - GRC"
2” pvc sch 80  10’ sticks,"2"" CONDUIT - PVC"
1/2 greenfield flex steel,"1/2"" CONDUIT - FLEX"
"3/4"" EMT @ 3000'","3/4"" CONDUIT - EMT"
"1"" SEALTIGHT","1"" CONDUIT - FLEX"
EMT125,UNK CONDUIT - EMT
EMT Conduit 1“,UNK CONDUIT - EMT
4IN METAL FLEX,UNK CONDUIT - FLEX
PVC4075,UNK CONDUIT - PVC
NIP GRC200X600 2X6-GALV-NIP,UNK CONDUIT - GRC
"4"" x 3"" PVC Conduit Base Duct","4"" CONDUIT - PVC"
"[EMT] 2"" Conduit","2"" CONDUIT - EMT"
