Description,ActualLabel,ConduitType
"""1""""CONDUIT-EMT""",Conduit - EMT,CONDUIT - EMT
EMT COND 1,Conduit - EMT,CONDUIT - EMT
EMT COND 3/4,Conduit - EMT,CONDUIT - EMT
GRC 1-1/4,Conduit - GRC,CONDUIT - GRC
LT STR FLEX 1-1/4,Conduit - FLEX,CONDUIT - FLEX
LT STR FLEX 3/4,Conduit - FLEX,CONDUIT - FLEX
GRC 1,Conduit - GRC,CONDUIT - GRC
EMT 3/4,Conduit - EMT,CONDUIT - EMT
EMT 1,Conduit - EMT,CONDUIT - EMT
SQZ FLEX 2,Conduit - FLEX,CONDUIT - FLEX
EMT 15D EL 2-1/2,Conduit - EMT,CONDUIT - EMT
EMT 2-1/2,Conduit - EMT,CONDUIT - EMT
STL FLEX 3/4,Conduit - FLEX,CONDUIT - FLEX
SQZ FLEX 3/4,Conduit - FLEX,CONDUIT - FLEX
PVC COND 2,Conduit - PVC,CONDUIT - PVC
LT STR FLEX 2,Conduit - FLEX,CONDUIT - FLEX
STL FLEX 1/2,Conduit - FLEX,CONDUIT - FLEX
EMT 2,Conduit - EMT,CONDUIT - EMT
SQZ FLEX 1/2,Conduit - FLEX,CONDUIT - FLEX
FLEX 1/2,Conduit - FLEX,CONDUIT - FLEX
FLEX 3/4,Conduit - FLEX,CONDUIT - FLEX
FLEXCON 1,Conduit - FLEX,CONDUIT - FLEX
M4 EMT 3/4,Conduit - EMT,CONDUIT - EMT
LT STR FLEXCON 1,Conduit - FLEX,CONDUIT - FLEX
SQZ FLEX 1-1/2,Conduit - FLEX,CONDUIT - FLEX
"3/4"" RED EMT",Conduit - EMT,CONDUIT - EMT
"FLEXIBLE STEEL CONDUIT, 1/2"", ",Conduit - FLEX,CONDUIT - FLEX
APPLETON TWCC75 EMT COMBINATI,Conduit - EMT,CONDUIT - EMT
"FLEXIBLE STEEL CONDUIT, 3/4"", ",Conduit - FLEX,CONDUIT - FLEX
"1/2"" steel flex",Conduit - FLEX,CONDUIT - FLEX
"1"" steel flex",Conduit - FLEX,CONDUIT - FLEX
"1"" EMT",Conduit - EMT,CONDUIT - EMT
"1 1/4"" Liquid tight flex (meta",Conduit - FLEX,CONDUIT - FLEX
EMT 1-1/4,Conduit - EMT,CONDUIT - EMT
"EMT Conduit, 3/4"", Galvanized ",Conduit - EMT,CONDUIT - EMT
"1 1/2"" EMT conduit",Conduit - EMT,CONDUIT - EMT
"1"" seal tight flex (metal insi",Conduit - FLEX,CONDUIT - FLEX
PVC COND 3/4,Conduit - PVC,CONDUIT - PVC
PVC COND 1-1/2,Conduit - PVC,CONDUIT - PVC
PVC COND 1,Conduit - PVC,CONDUIT - PVC
PVC COND 1-1/4,Conduit - PVC,CONDUIT - PVC
PVC COND 4,Conduit - PVC,CONDUIT - PVC
EMT 1/2,Conduit - EMT,CONDUIT - EMT
GRC 3/4,Conduit - GRC,CONDUIT - GRC
GRC 1-1/2,Conduit - GRC,CONDUIT - GRC
GRC 2,Conduit - GRC,CONDUIT - GRC
2” Pvc Scd 40,Conduit - PVC,CONDUIT - PVC
1-1/4 Pvc Scd 40,Conduit - PVC,CONDUIT - PVC
1” Pvc Ma,Conduit - PVC,CONDUIT - PVC
"3"" PVC Conduit, 10', Schedule ",Conduit - PVC,CONDUIT - PVC
"Rigid Conduit, 2"", Galvanized ",Conduit - GRC,CONDUIT - GRC
1-1/4 Scd Pvc,Conduit - PVC,CONDUIT - PVC
"Rigid Conduit, 3/4"", Galvanize",Conduit - GRC,CONDUIT - GRC
