,Description,ConduitType
4,"""1""""CONDUIT-EMT""",CONDUIT - EMT
12,EMT COND 1,CONDUIT - EMT
13,EMT COND 3/4,CONDUIT - EMT
17,GRC 1-1/4,CONDUIT - GRC
22,LT STR FLEX 1-1/4,CONDUIT - FLEX
23,LT STR FLEX 3/4,CONDUIT - FLEX
28,GRC 1,CONDUIT - GRC
47,EMT 3/4,CONDUIT - EMT
50,EMT 1,CONDUIT - EMT
61,SQZ FLEX 2,CONDUIT - FLEX
62,EMT 15D EL 2-1/2,CONDUIT - EMT
67,EMT 2-1/2,CONDUIT - EMT
112,STL FLEX 3/4,CONDUIT - FLEX
113,SQZ FLEX 3/4,CONDUIT - FLEX
116,PVC COND 2,CONDUIT - PVC
124,LT STR FLEX 2,CONDUIT - FLEX
131,STL FLEX 1/2,CONDUIT - FLEX
143,EMT 2,CONDUIT - EMT
153,SQZ FLEX 1/2,CONDUIT - FLEX
163,FLEX 1/2,CONDUIT - FLEX
164,FLEX 3/4,CONDUIT - FLEX
170,FLEXCON 1,CONDUIT - FLEX
180,M4 EMT 3/4,CONDUIT - EMT
185,LT STR FLEXCON 1,CONDUIT - FLEX
213,SQZ FLEX 1-1/2,CONDUIT - FLEX
232,"3/4"" RED EMT",CONDUIT - EMT
247,"FLEXIBLE STEEL CONDUIT, 1/2"", ",CONDUIT - FLEX
262,APPLETON TWCC75 EMT COMBINATI,CONDUIT - EMT
264,"FLEXIBLE STEEL CONDUIT, 3/4"", ",CONDUIT - FLEX
281,"1/2"" steel flex",CONDUIT - FLEX
286,"1"" steel flex",CONDUIT - FLEX
294,"1"" EMT",CONDUIT - EMT
301,"1 1/4"" Liquid tight flex (meta",CONDUIT - FLEX
308,EMT 1-1/4,CONDUIT - EMT
444,"EMT Conduit, 3/4"", Galvanized ",CONDUIT - EMT
466,"1 1/2"" EMT conduit",CONDUIT - EMT
472,"1"" seal tight flex (metal insi",CONDUIT - FLEX
611,PVC COND 3/4,CONDUIT - PVC
628,PVC COND 1-1/2,CONDUIT - PVC
629,PVC COND 1,CONDUIT - PVC
639,PVC COND 1-1/4,CONDUIT - PVC
648,PVC COND 4,CONDUIT - PVC
669,EMT 1/2,CONDUIT - EMT
676,GRC 3/4,CONDUIT - GRC
